3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
"HSDPA, HSUPA, HSPA+",YES,,,3000 mAh,4.2,Panasonic,Silver,2 GHz,Octa Core,1080 x 2246 pixels,15.7 cm (6.18 inch),In-cell,256 GB,Rear Led Flash,Yes,,A-GPS,,Yes,64 GB,Eluga X1,E8-90S62EX1S,Panasonic Eluga X1,1.0,2,Android Oreo 8.1,Yes,16MP 5MP,4 GB,1250,186,4.2,16MP,Dual Sim,Micro SIM + Nano SIM,Yes,195 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,3.5mm,No,4.2,Redmi,Rose Gold,2 GHz,Octa Core,1440 x 720 pixels,15.21 cm (5.99 inch),IPS (In-cell),256 GB,Rear Flash,Yes,,"GLONASS, BeiDou",Adreno 506,No,64 GB,Redmi Y2,MZB6307IN,Redmi Y2,1.0,2,Android Oreo 8.0,Yes,12MP 5MP,4 GB,25225,1824,4.4,16MP,Dual Sim,Nano SIM + Nano SIM,Yes,168 g,Yes
42 Mbps HSPA,,,3.5 mm,Li-Ion,4,MI3,Metallic Grey,2.3 GHz,Quad Core,1920 x 1080,12.7 cm (5 inch),LCD,,Dual LED,,,"A-GPS, GLONASS",Adreno 330,,16 GB,MI3,,MI3,1.0,1,Android KitKat 4.4.2,,13MP,2 GB,14918,5162,4.4,2MP,Single Sim,Mini SIM,,145 g,Yes
YES,YES,,3.5 mm,3750 mAh,,Tecno,Gold,2 GHz,Octa Core,720 x 1500$$PIxels,15.75 cm (6.2 inch),HD+,128 GB,Front & Back,Yes,,,,No,64 GB,Camon i 2x,Camon i 2x,Tecno Camon i 2x,1.0,2,Android Oreo 8.1,Yes,13MP 5MP,4 GB,92,7,4.6,16MP,Dual Sim,Nano,Yes,,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Marine Green,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
HSPA+,YES,,,4000 mAh,4.2,Lenovo,Gold,1.3 GHz,Quad Core,720 x 1440 pixels,13.84 cm (5.45 inch),HD+,256 GB,Rear LED Flash,Yes,,"A-GPS, GLONASS",IMG 8XE 1PPC at 420 MHz,No,32 GB,A5,PADJ0041CN/PADJ0057IN,Lenovo A5,1.0,1,Android Oreo 8.1,Yes,13MP,3 GB,9119,932,4.0,8MP,Dual Sim,Dual Nano SIM,Yes,160 g,Yes
HSPA+,YES,,,3400 mAh,4.2,OPPO,Black,2 GHz,Octa Core,2280 x 1080 Pixels,15.82 cm (6.23 inch),Full HD+,256 GB,Rear LED Flash,Yes,,"A-GPS, GLONASS, BeiDou",,No,64 GB,Ravichandran Ashwin Limited Edition,,OPPO Ravichandran Ashwin Limited Edition,1.0,1,Android Oreo 8.1.0,Yes,16MP,4 GB,37,6,4.6,25MP,Dual Sim,,Yes,158 g,Yes
Yes,YES,,3.5mm,4000 mAh,5.0,Redmi,Glacier Blue,2.2 GHz,Octa Core,2340 x 1080 pixels,16.23 cm (6.39 inch),AMOLED,,Rear Flash,Yes,In-Display,"A-GPS, GLONASS, BeiDou",Adreno 618,No,64 GB,Redmi K20,MZB7755IN,Redmi K20,1.0,3,Android Pie 9.0,Yes,48MP 13MP 8MP,6 GB,43678,4778,4.5,20MP,Dual Sim,Dual Nano SIM,Yes,191 g,802.11 a/b/g/n/ac
Yes,YES,,3.5mm,No,Yes,Gome,Black,2 GHz,Octa Core,HD,15.21 cm (5.99 inch),IPS,64 GB,Yes,,,,ARM Mali-G71 GPU,No,16 GB,C7 Note,C7 Note,Gome C7 Note,,3,No,No,13MP 5MP 13MP,2 GB,6,1,4.8,,Dual Sim,Nano SIM,Capacitve,,Yes
